#基本設定,,,,,,,,,,,,,,,,,,,,,
#ID,名称,能力Lv1,能力值Lv1,能力Lv2,能力值Lv2,能力Lv3,能力值Lv3,能力Lv4,能力值Lv4,能力Lv5,能力值Lv5,能力Lv6,能力值Lv6,能力Lv7,能力值Lv7,能力Lv8,能力值Lv8,能力Lv9,能力值Lv9,能力Lv10,能力值Lv10
18,黒の大魔導師,14,2,14|2,2|20,14|2,4|20,14|2,4|50,14|2,7|50,14|2,7|50,14|2,7|50,14|2,7|50,14|2,7|50,14|2,7|50
19,ヴァンパイア·ハイブリッド,4,5,4|6,5|5,4|6,10|5,4|6,10|10,4|6,15|10,4|6,15|10,4|6,15|10,4|6,15|10,4|6,15|10,4|6,15|10
20,エルヴン·ストライカー,20,3,20|16,3|5,20|16|13,3|5|4,20|16|13|25,3|5|4|5,20|16|13|25|15,3|5|4|5|10,20|16|13|25|15,3|5|4|5|10,20|16|13|25|15,3|5|4|5|10,20|16|13|25|15,3|5|4|5|10,20|16|13|25|15,3|5|4|5|10,20|16|13|25|15,3|5|4|5|10
21,女帝竜,30,5,30|25,5|3,30|25,10|3,30|25,10|5,30|25,15|5,30|25,15|5,30|25,15|5,30|25,15|5,30|25,15|5,30|25,15|5
22,ピュア·ブライトネス,3,20,3|24,20|2,3|24,50|2,3|24,50|4,3|24|13,50|4|3,3|24|13,100|4|3,3|24|13,100|6|3,3|24|13,100|6|3,3|24|13,100|6|3,3|24|13,100|6|3
23,現巫女,19,2,19|23,2|5,19|23|22,2|5|10,19|23|22|17,2|5|10|3,19|23|22|26,6|5|10|3,19|23|22|26,6|10|10|3,19|23|22|26,6|10|10|3,19|23|22|26,6|10|10|3,19|23|22|26,6|10|10|3,19|23|22|26,6|10|10|3
24,サイレントウィッチ,25,2,25|29,2|10,25|29,4|10,25|29,4|20,25|29,6|20,25|29,6|20,25|29,6|20,25|29,6|20,25|29,6|20,25|29,6|20
25,涼風鬼姫,22,3,22|1,3|40,22|1,6|40,22|1,6|100,22|1,10|100,22|1,10|100,22|1,10|100,22|1,10|100,22|1,10|100,22|1,10|100
26,ドラゴンナイト,28,5,28|30,5|7,28|30|27,5|7|7,28|30|27,10|7|7,28|30|27,10|13|7,28|30|27,10|13|7,28|30|27,10|13|7,28|30|27,10|13|7,28|30|27,10|13|7,28|30|27,10|13|7
27,総参謀長,22,3,22|21,3|5,22|21|19,3|5|5,22|21|19|17,3|5|5|10,22|21|19|17|18,3|5|5|10|10,22|21|19|17|18,3|5|5|10|10,22|21|19|17|18,3|5|5|10|10,22|21|19|17|18,3|5|5|10|10,22|21|19|17|18,3|5|5|10|10,22|21|19|17|18,3|5|5|10|10
28,サイキック·プライマル,20,3,20|22,3|4,20|22|21,3|4|5,20|22|21|23,3|4|5|5,20|22|21|23,9|4|5|5,20|22|21|23,9|4|5|5,20|22|21|23,9|4|5|5,20|22|21|23,9|4|5|5,20|22|21|23,9|4|5|5,20|22|21|23,9|4|5|5
29,太極拳法家,29,10,29|1,10|60,29|1|4,10|60|6,29|1|4,20|60|6,29|1|4,20|120|6,29|1|4,20|120|6,29|1|4,20|120|6,29|1|4,20|120|6,29|1|4,20|120|6,29|1|4,20|120|6
30,白の大魔導師,22,3,22|2,3|10,22|2,6|10,22|2,3|20,22|2|5,6|20|5,22|2|5,6|20|5,22|2|5,6|20|5,22|2|5,6|20|5,22|2|5,6|20|5,22|2|5,6|20|5
31,エルヴン·ハーミット,5,4,5,6,5|24,6|2,5|24,6|4,5|24,8|4,5|24,8|4,5|24,8|4,5|24,8|4,5|24,8|4,5|24,8|4
32,魔剣姫,21,5,21|15,5|5,21|15,10|5,21|15,10|10,21|15,15|10,21|15|13,15|10|3,21|15|13,15|10|3,21|15|13,15|10|3,21|15|13,15|10|3,21|15|13,15|10|3
33,大天使,1,50,1|5,50|5,1|5|4,50|5|5,1|5|4|2,50|5|5|50,1|5|4|2,100|5|5|50,1|5|4|2,100|5|5|50,1|5|4|2,100|5|5|50,1|5|4|2,100|5|5|50,1|5|4|2,100|5|5|50,1|5|4|2,100|5|5|50
34,悠久の楽園,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3
35,お祭り！タイニー神輿,4|5|28|27,1|1|1|1,4|5|28|27,1|1|1|1,4|5|28|27,1|1|1|1,4|5|28|27,1|1|1|1,4|5|28|27|6,1|1|1|1|1,4|5|28|27|6,1|1|1|1|1,4|5|28|27|6,1|1|1|1|1,4|5|28|27|6,1|1|1|1|1,4|5|28|27|6,1|1|1|1|1,4|5|28|27|6,1|1|1|1|1
36,深愛の絆,4,10,4|5,10|10,4|5|1,10|10|1000,4|5|1|2,10|10|1000|500,4|5|1|2|25,10|10|1000|500|8,4|5|1|2|25|24,10|10|1000|500|8|8,4|5|1|2|25|24|22,10|10|1000|500|8|8|30,4|5|1|2|25|24|22,10|10|1000|500|8|8|30,4|5|1|2|25|24|22,10|10|1000|500|8|8|30,4|5|1|2|25|24|22,10|10|1000|500|8|8|30
37,唸る大胸筋,1,50,1|27,50|5,1|27|7,50|5|1,1|27|7,50|5|1,1|27|7,50|5|1,1|27|7,50|5|1,1|27|7,50|5|1,1|27|7,50|5|1,1|27|7,50|5|1,1|27|7,50|5|1
38,大豊作,28,5,28|3,5|30,28|3,5|30,28|3,5|30,28|3,5|30,28|3,5|30,28|3,5|30,28|3,5|30,28|3,5|30,28|3,5|30
39,みんつく,27,5,27|28,5|5,27|28|1,5|5|100,27|28|1|2,5|5|100|50,27|28|1|2|3,5|5|100|50|50,27|28|1|2|3|4,5|5|100|50|50|5,27|28|1|2|3|4|5,5|5|100|50|50|5|5,27|28|1|2|3|4|5|6,5|5|100|50|50|5|5|5,27|28|1|2|3|4|5|6,7|5|100|50|50|5|5|5,27|28|1|2|3|4|5|6,7|7|100|50|50|5|5|5
40,豊作,28,3,28|3,3|20,28|3,5|20,28|3,5|80,28|3,7|80,28|3,7|200,28|3,10|200,28|3,10|200,28|3,10|200,28|3,10|200
41,慈愛の加護,4,5,4|5,5|5,4|5|1,5|5|350,4|5|1|2,5|5|350|150,4|5|1|2|25,5|5|350|150|5,4|5|1|2|25|24,5|5|350|150|5,4|5|1|2|25|24|22,5|5|350|150|5|5|10,4|5|1|2|25|24|22,5|5|350|150|5|5|10,4|5|1|2|25|24|22,5|5|350|150|5|5|10,4|5|1|2|25|24|22,5|5|350|150|5|5|10
42,ウェポンプラス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,アーマープラス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,マジックプラス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,偽りの神と機械の記憶,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3
